"ID","Forest","NonForest"
7997,57.06,23.94
7998,56.52,24.48
7999,74.88,6.12
8000,78.21,2.79000000000001
8001,69.12,11.88
8002,68.94,12.06
8003,72.54,8.45999999999999
8004,66.33,14.67
8005,35.1,45.9
8006,65.52,15.48
8007,36.99,44.01
8008,70.02,10.98
8009,43.65,37.35
8010,58.68,22.32
8011,79.02,1.98000000000002
8012,70.65,10.35
8013,36.63,44.37
8014,31.59,49.41
8015,70.74,10.26
8016,43.11,37.89
8017,41.4,39.6
8018,36.27,44.73
8019,32.4,48.6
8020,4.41,76.59
8021,0,81
8022,3.51,77.49
8023,40.32,40.68
8024,41.94,39.06
8025,77.94,3.06
8026,79.83,1.17
8027,80.64,0.360000000000014
8028,80.91,0.0900000000000034
8029,80.82,0.180000000000007
8030,79.47,1.53
8031,79.83,1.17
8032,78.03,2.97
8033,65.61,15.39
8034,57.78,23.22
8035,61.56,19.44
8036,80.46,0.539999999999992
8037,76.14,4.86000000000001
8038,50.13,30.87
8039,73.8,7.2
8040,80.28,0.719999999999999
8041,80.46,0.539999999999992
8042,80.55,0.450000000000003
8043,80.37,0.629999999999995
8044,37.53,43.47
8045,36,45
8046,53.19,27.81
8047,79.92,1.08
8048,78.48,2.52
8049,80.1,0.900000000000006
8050,80.28,0.719999999999999
8051,80.46,0.539999999999992
8052,78.12,2.88
8053,79.83,1.17
8054,78.93,2.06999999999999
8055,79.92,1.08
8056,79.2,1.79999999999998
8057,78.48,2.52
8058,60.66,20.34
8059,0,81
8461,17.01,63.99
8462,29.7,51.3
8463,39.33,41.67
8464,33.93,47.07
8465,45.54,35.46
8466,11.43,69.57
8467,4.23,76.77
8468,0,81
8469,25.38,55.62
8470,43.92,37.08
8471,36.09,44.91
8472,43.83,37.17
8473,67.14,13.86
8474,13.68,67.32
8475,3.87,77.13
8476,8.64,72.36
8477,34.02,46.98
8507,8.82,72.18
8508,43.56,37.44
8509,49.95,31.05
8510,78.03,2.97000000000001
8511,17.19,63.81
8517,17.91,63.09
8518,26.28,54.72
8519,33.3,47.7
8520,23.85,57.15
8521,15.21,65.79
8522,46.53,34.47
8523,71.37,9.63000000000001
8524,28.44,52.56
8525,5.49,75.51
8526,6.39,74.61
8527,48.15,32.85
8528,16.29,64.71
8529,0,81
8530,0,81
8531,0,81
8532,0,81
8533,10.35,70.65
8534,13.5,67.5
8535,4.32,76.68
8536,0,81
8537,9.09,71.91
8538,0,81
8539,3.51,77.49
8540,15.66,65.34
8541,0,81
8612,8.82,72.18
8613,26.46,54.54
8614,67.32,13.68
8615,54.18,26.82
8616,39.15,41.85
8617,64.44,16.56
8618,58.95,22.05
8619,51.75,29.25
8620,17.28,63.72
8621,26.73,54.27
8622,66.6,14.4
8623,50.4,30.6
8624,65.88,15.12
8625,79.11,1.89
8626,42.39,38.61
8627,74.25,6.75
8628,46.35,34.65
8629,44.28,36.72
8630,16.83,64.17
8631,55.98,25.02
8632,68.04,12.96
8633,79.47,1.53000000000002
8634,79.2,1.8
8635,79.56,1.44
8636,79.02,1.97999999999999
8637,77.49,3.51000000000001
8638,64.26,16.74
8639,50.85,30.15
8640,26.19,54.81
8641,22.5,58.5
8642,50.49,30.51
8643,48.33,32.67
8644,29.88,51.12
8645,19.44,61.56
8646,65.88,15.12
8647,77.49,3.51000000000001
8648,79.83,1.16999999999999
8649,79.83,1.17
8650,80.55,0.450000000000003
8651,80.91,0.0900000000000034
8652,79.47,1.53
8653,68.49,12.51
8654,44.64,36.36
8655,17.37,63.63
8656,65.88,15.12
8657,67.5,13.5
8658,67.95,13.05
8659,80.28,0.719999999999999
8660,74.07,6.92999999999999
8661,47.16,33.84
8662,62.73,18.27
8663,72.81,8.19
8664,73.26,7.74000000000001
8665,44.55,36.45
8666,63.9,17.1
8667,47.16,33.84
8668,33.39,47.61
8669,53.46,27.54
8670,80.73,0.269999999999996
8671,77.94,3.06
8672,78.84,2.16
8673,80.1,0.899999999999991
8674,80.01,0.989999999999995
8675,80.1,0.900000000000006
8676,78.48,2.52000000000001
8677,79.38,1.61999999999999
8678,80.37,0.629999999999995
8679,79.47,1.53
8680,79.38,1.61999999999999
8681,31.68,49.32
8682,0,81
9085,30.42,50.58
9086,12.06,68.94
9089,0,81
9090,0,81
9091,0,81
9092,12.96,68.04
9093,47.34,33.66
9094,17.55,63.45
9095,66.24,14.76
9096,79.02,1.98
9097,13.32,67.68
9098,0,81
9099,0,81
9100,2.88,78.12
9131,17.55,63.45
9133,52.65,28.35
9135,17.37,63.63
9139,9,72
9140,17.91,63.09
9141,27,54
9142,58.14,22.86
9143,62.73,18.27
9144,38.43,42.57
9145,37.62,43.38
9146,67.05,13.95
9147,49.5,31.5
9148,18.18,62.82
9149,24.57,56.43
9150,53.19,27.81
9151,0,81
9152,6.84,74.16
9153,43.02,37.98
9154,0,81
9155,12.15,68.85
9156,0,81
9157,0,81
9158,0,81
9159,0,81
9160,0,81
9161,0,81
9162,0,81
9163,0,81
9164,12.6,68.4
9235,15.66,65.34
9236,49.77,31.23
9237,31.23,49.77
9238,65.61,15.39
9239,26.19,54.81
9240,70.2,10.8
9241,60.57,20.43
9242,48.78,32.22
9243,60.66,20.34
9244,29.52,51.48
9245,59.67,21.33
9246,75.6,5.40000000000001
9247,70.56,10.44
9248,39.42,41.58
9249,49.5,31.5
9250,72.09,8.91000000000001
9251,65.79,15.21
9252,34.47,46.53
9253,51.48,29.52
9254,27.45,53.55
9255,56.61,24.39
9256,79.74,1.26000000000001
9257,80.1,0.900000000000006
9258,79.92,1.08000000000001
9259,79.65,1.34999999999999
9260,79.47,1.53
9261,76.86,4.14
9262,64.8,16.2
9263,51.57,29.43
9264,28.08,52.92
9265,39.6,41.4
9266,0,81
9267,50.04,30.96
9268,67.23,13.77
9269,66.06,14.94
9270,77.58,3.42
9271,79.2,1.8
9272,80.46,0.540000000000006
9273,80.46,0.540000000000006
9274,80.82,0.180000000000007
9275,80.82,0.180000000000007
9276,61.92,19.08
9277,0,81
9278,16.38,64.62
9279,39.96,41.04
9280,63.9,17.1
9281,33.75,47.25
9282,80.01,0.989999999999995
9283,71.19,9.80999999999999
9284,71.28,9.72
9285,42.66,38.34
9286,41.31,39.69
9287,53.64,27.36
9288,79.74,1.26000000000001
9289,78.66,2.34
9290,65.07,15.93
9291,79.29,1.70999999999999
9292,79.92,1.07999999999998
9293,81,0
9294,80.82,0.180000000000007
9295,79.47,1.52999999999999
9296,79.83,1.17
9297,79.11,1.88999999999999
9298,79.47,1.52999999999999
9299,79.65,1.34999999999999
9300,78.39,2.60999999999999
9301,80.37,0.629999999999995
9302,68.67,12.33
9303,62.28,18.72
9304,32.58,48.42
9305,0,81
9712,22.68,58.32
9713,0,81
9714,0,81
9715,29.97,51.03
9716,67.5,13.5
9717,0,81
9718,35.64,45.36
9719,3.33,77.67
9720,0,81
9721,0,81
9722,0,81
9723,0,81
9724,13.14,67.86
9755,22.05,58.95
9756,34.83,46.17
9757,36.27,44.73
9758,77.85,3.14999999999999
9759,8.55,72.45
9760,34.29,46.71
9761,0,81
9762,52.2,28.8
9763,53.82,27.18
9764,73.8,7.2
9765,79.38,1.62
9766,80.01,0.990000000000009
9767,79.38,1.62
9768,49.68,31.32
9769,47.16,33.84
9770,18.99,62.01
9771,0,81
9772,33.75,47.25
9773,28.8,52.2
9774,66.24,14.76
9775,50.76,30.24
9777,15.21,65.79
9778,7.56,73.44
9779,0,81
9780,0,81
9781,0,81
9782,0,81
9783,8.91,72.09
9784,29.97,51.03
9785,0,81
9786,0,81
9787,0,81
9788,9.45,71.55
9791,7.38,73.62
9857,28.08,52.92
9858,47.16,33.84
9859,39.69,41.31
9860,59.94,21.06
9861,60.66,20.34
9862,69.48,11.52
9863,64.08,16.92
9864,55.08,25.92
9865,59.13,21.87
9866,69.12,11.88
